Date,strategy_returns,cumulative_returns
2007-07-24,-0.005352980587643724,1.9126184140686704
2007-07-25,0.00807202311796077,1.9280571141228702
2007-07-26,-0.004282884560584104,1.9197994680768689
2007-07-27,0.0033489408388207957,1.9262287629178578
2007-07-30,0.01963104871373505,1.9640426535964959
2007-07-31,-0.010835215833503685,1.9427618275385705
2007-08-01,0.020187710319953586,1.9819817405335827
2007-08-02,-0.011034859827992127,1.9601108498451547
2007-08-03,0.004547859628219037,1.9690251588459997
2007-08-06,0.010573704057970142,1.989845048158335
2007-08-07,-0.018476354400387612,1.953079965846705
2007-08-08,-0.0042892715608648605,1.9447026754931038
2007-08-09,0.03109204401590754,2.0051674566773885
2007-08-10,0.005109784864105816,2.015413430997516
2007-08-13,-0.005081235551226799,2.0051726406215113
2007-08-14,0.00033128979169904163,2.0058369338479434
2007-08-15,0.0011601379084250183,2.0081639813130194
2007-08-16,0.0035552666496525623,2.015303539742815
2007-08-17,0.007815607487207764,2.0310543611770253
2007-08-20,-0.027206889580520047,1.9757956894404483
2007-08-21,-0.014575287892558424,1.9469978984499776
2007-08-22,-0.026471784446665023,1.8954573897641
2007-08-23,-0.00014818823549077667,1.895176505278063
2007-08-24,-0.022025174276950693,1.8534349124637313
2007-08-27,-0.011653107618635073,1.831836635964656
2007-08-28,0.022715087070780775,1.8734469646500396
2007-08-29,-0.023510505079695456,1.8294012802710948
2007-08-30,0.003254818949935085,1.8353556502251567
2007-08-31,-0.009049786675476606,1.8187460731169882
2007-09-04,-0.015354547349649299,1.7908200504203249
2007-09-05,-0.00027140670729139914,1.7903340098470888
2007-09-06,0.009603592743654223,1.8075276485527736
2007-09-07,-0.017022558650491994,1.776758903142898
2007-09-10,0.016314900436218385,1.805746547746839
2007-09-11,-0.010429270339087122,1.786913928836514
2007-09-12,0.01284456383420121,1.8098660588616777
2007-09-13,-0.01257152628097522,1.787113280137653
2007-09-14,0.00848317213849638,1.8022736697240536
2007-09-17,-0.015354795234816612,1.774600126568339
2007-09-18,0.005886698861058281,1.7850466631122426
2007-09-19,-0.0001664370178850877,1.7847495652688485
2007-09-20,-0.012440661337400866,1.7625461003552654
2007-09-21,-0.011106242034554799,1.742970836767659
2007-09-24,0.014186981735380839,1.7676983321941833
2007-09-25,0.003586472811178654,1.7740381342009637
2007-09-26,-0.01902157383155064,1.7402931368512737
2007-09-27,0.005114581511421511,1.7491940079534671
2007-09-28,-0.0039112874399866715,1.7423524074000587
2007-10-01,0.025008438291081965,1.7859259200618414
2007-10-02,0.040746397357610195,1.8586959672519365
2007-10-03,-0.010161026806471171,1.8398097077036097
2007-10-04,0.005213496195533834,1.8494015486152289
2007-10-05,-0.00015391753139720092,1.8491168932943038
2007-10-08,0.01708183928743051,1.88070321088923
2007-10-09,-0.011273314937482565,1.8595014512889412
2007-10-10,-0.004957149527513523,1.8502836245482737
2007-10-11,-0.01711315997916901,1.8186194248745424
2007-10-12,0.02420684990017771,1.862642472318028
2007-10-15,0.008385365528398058,1.8782614102971338
2007-10-16,0.01038776412232863,1.8977723467873728
2007-10-17,0.012993921618258427,1.9224318519108263
2007-10-18,-0.02774519028735901,1.8690936143650805
2007-10-19,-0.016676340849398015,1.837923972172495
2007-10-22,0.0015818020908361218,1.840831204154475
2007-10-23,-0.003982813574180871,1.833499516646793
2007-10-24,0.00860030046265944,1.849268163388096
2007-10-25,-0.00842589955162285,1.833686415599374
2007-10-26,-0.016046638127237507,1.8042619132494195
2007-10-29,-0.021813666189343335,1.7649043461556508
2007-10-30,0.04326281097864919,1.8412590692787794
2007-10-31,-0.0032549248741034834,1.8352659093345152
2007-11-01,0.015175147916179767,1.8631163409741884
2007-11-02,-0.0036995184281093272,1.8562237077370427
2007-11-05,-0.016235865673497645,1.8260863089582624
2007-11-06,-0.013747365206104135,1.8009824335711466
2007-11-07,0.013829349819261472,1.8258888496633467
2007-11-08,-0.012032213490097332,1.8039193652150092
2007-11-09,0.004624389688982499,1.8122613913272656
2007-11-12,0.0016941083433977058,1.8153315584707306
2007-11-13,-0.0028845280819234827,1.8100951836123198
2007-11-14,-0.010917664540608042,1.7903331716110702
2007-11-15,-0.005229858868240023,1.7809699817964157
2007-11-16,0.0017960217696299016,1.7841686426547796
2007-11-19,0.0051500617868577014,1.7933572214026257
2007-11-20,0.0030291842851003885,1.79878963091527
2007-11-21,-0.00017763321871128689,1.798470106123346
2007-11-23,-0.011138184385648776,1.7784384144692669
2007-11-26,0.0015622341703930512,1.7812167517302906
2007-11-27,-0.0022675417671393257,1.777177768349414
2007-11-28,-0.011738314790791706,1.756316696265332
2007-11-29,-0.005856359247814541,1.7460310747390675
2007-11-30,0.0014559198652476565,1.74857315606612
2007-12-03,-0.0041553780776367065,1.7413071735062589
2007-12-04,-0.01667674006395984,1.7122678464021863
2007-12-05,0.008410436807557242,1.726668766921964
2007-12-06,-0.005871799560607306,1.7165301140150373
2007-12-07,-0.0031322282153540063,1.7111535499594146
2007-12-10,0.006344424297182544,1.7220098341179875
2007-12-11,0.0012723886860797496,1.7242008999482372
2007-12-12,-0.03415251150129603,1.66531510888221
2007-12-13,-0.007329201550953451,1.6531096788033643
2007-12-14,0.005175856151955322,1.6616659367042554
2007-12-17,0.008947282378562692,1.6765333310587875
2007-12-18,0.003372728591931185,1.682187822959775
2007-12-19,0.0043782479268460114,1.6895528583082142
2007-12-20,0.013736690002492502,1.7127617221656193
2007-12-21,-0.001250793169129388,1.7106194115031883
2007-12-24,0.010695688616130761,1.728915664069335
2007-12-26,-0.016125655123643355,1.701035766332688
2007-12-27,-0.006204206980697845,1.6904821883567902
2007-12-28,-0.0024227309281286413,1.6863866048756078
2007-12-31,-0.007492730311303836,1.6737509648446796
2008-01-02,-0.020919149493261936,1.6387375181966024
2008-01-03,-0.010916749895620671,1.62084783056588
2008-01-04,0.0006648642593019838,1.6219254743581903
2008-01-07,0.003562856533829213,1.6277041621318915
2008-01-08,-0.004441831516134221,1.6204741744855913
2008-01-09,0.008546009847480697,1.6343227627383334
2008-01-10,-0.004751128800126325,1.6265578847915854
2008-01-11,-0.03537253687117069,1.5690224060387017
2008-01-14,-0.008558323955483971,1.5555942039944095
2008-01-15,-0.0020988778350025817,1.552329201799387
2008-01-16,0.015202169392614887,1.575927973278244
2008-01-17,0.0159928049183376,1.601131481920234
2008-01-18,-0.008074214595826879,1.5882036027390758
2008-01-22,0.005017776981019982,1.596172854218073
2008-01-23,0.02629125039393196,1.6381382344003175
2008-01-24,-0.011829317673545836,1.6187601768324147
2008-01-25,-0.0019482781766243205,1.6156063817067035
2008-01-28,0.0010936625477569895,1.6173733098982932
2008-01-29,0.014927214449935458,1.641516188140747
2008-01-30,-0.008219781973034962,1.6280232829690227
2008-01-31,0.005974497407835122,1.637749903853016
2008-02-01,-0.005145871505962652,1.6293222532888858
2008-02-04,-0.032877821289484535,1.5757536874222735
2008-02-05,-0.018504912547861747,1.5465945032395536
2008-02-06,0.011674870548977423,1.5646507938566356
2008-02-07,-0.011939332973205402,1.5459699070419912
2008-02-08,0.0010635930522263567,1.5476141898940718
2008-02-11,0.01120700320212736,1.5649583070758726
